Complexity,Loss,Equation
1,1.2834291e10,"285649.8"
3,2.5911718e8,"SquareFootage * 124.04875"
5,8.9378056e7,"(SquareFootage + 285.4862) * 112.21767"
8,8.937798e7,"log(AgeOfHouse) + ((AgeOfHouse * 4023.637) + 82454.79)"
9,8.937786e7,"((4023.637 * AgeOfHouse) + 82454.79) + log(log(AgeOfHouse))"
12,8.805503e7,"(log(SquareFootage) * 1005.16504) + ((AgeOfHouse * (AgeOfHouse + 3904.6108)) - -77518.75)"
14,8.7053336e7,"((6045.584 ^ cos(SquareFootage / AgeOfHouse)) + SquareFootage) + ((AgeOfHouse * 3995.7437) - -80885.11)"
16,8.4332504e7,"log(SquareFootage + -317.93387) * ((SquareFootage + ((SquareFootage + 2913.3845) / (SquareFootage ^ -0.25132886))) - 798.02924)"
18,8.404131e7,"(SquareFootage + (((SquareFootage + 2639.7466) / (SquareFootage ^ -0.24460618)) - 45.70813)) * log(SquareFootage + (SquareFootage + -748.40814))"
20,8.401255e7,"(SquareFootage + (((SquareFootage + 2639.7466) / (SquareFootage ^ -0.24460618)) - 45.70813)) * log((SquareFootage - 1.2738056) + (SquareFootage + -748.40814))"
