Complexity,Loss,Equation
1,23.225466,"4.632655"
2,18.487204,"sqrt(x)"
3,3.7249498,"x ^ 0.827785"
4,3.6448188,"abs(x ^ 0.81372404)"
5,3.6374903,"(x * 0.9468745) ^ 0.827785"
6,3.5933545,"abs((x + -0.3162247) ^ 0.81817615)"
7,3.564052,"((x * 1.3426584) ^ 0.7640804) + -0.70597166"
8,3.4591236,"abs(c - ((x ^ 0.7694852) * 1.2220225))"
10,3.3359203,"(cos(d) - -5.5757246) * ((x ^ 0.77727634) * 0.19502242)"
11,3.293341,"(cos(d - -4.990082) * sqrt(x ^ 1.511495)) * 1.3661708"
13,3.2252123,"((cos(d) - -4.673186) * 0.3253425) * (sqrt(x ^ 1.3923696) - 0.59578466)"
14,3.0982947,"(cos(d) - -4.808831) * ((sqrt(x ^ 1.2554848) - sin(c)) * 0.38922283)"
15,3.0812223,"((cos(d) - -4.808831) * (sqrt(x ^ 1.2554848) - sin(sin(c)))) * 0.38922283"
17,3.0583503,"(0.38922283 * (cos(-0.111168966 + d) - -4.808831)) * abs(sqrt(x ^ 1.2554848) - sin(c))"
