Complexity,Loss,Equation
1,23.225466,"4.6326804"
2,18.487204,"sqrt(x)"
3,3.6448178,"x ^ 0.8137567"
5,3.5932777,"(x + -0.31843266) ^ 0.81865656"
7,3.5280325,"(x + (0.6803357 - c)) ^ 0.8161044"
8,2.8085356,"sin(sin(log(b) / -1.9409704)) * x"
10,2.7562728,"sin(sin(log(b) / -1.9449042)) * (x + -0.35368925)"
11,2.7562633,"sin(sin(log(b) / -1.9447938)) * (abs(x) + -0.35496083)"
12,2.6790085,"sin(sin(log(b) / -1.9409704)) * ((1.5181942 - d) + x)"
14,2.4921534,"abs(((c * 1.0264893) - c) - x) * sin(log(b) / 4.2233505)"
17,2.3295283,"sin(sin(log(b) / 4.2457366)) * ((d / 1.816367) - (d - (abs(x) + 1.3531367)))"
